territory,district_id,province_code,province_name,dominant_municipality_code,dominant_municipality_name,dominant_population,district_population,dominant_population_share,naming_rule,base_name,district_name
castilla_y_leon,23,24,León,24010,"Bañeza, La",10326,28794,0.358616378412,RURAL_REFERENCE_MUNICIPALITY,"León — Entorno de Bañeza, La","León — Entorno de Bañeza, La"
castilla_y_leon,24,24,León,24189,Valverde de la Virgen,7943,28821,0.275597654488,RURAL_REFERENCE_MUNICIPALITY,León — Entorno de Valverde de la Virgen,León — Entorno de Valverde de la Virgen
castilla_y_leon,25,24,León,24222,Villaquilambre,18968,29123,0.651306527487,DOMINANT_MUNICIPALITY,León — Villaquilambre,León — Villaquilambre
castilla_y_leon,26,24,León,24030,Cacabelos,4738,28834,0.164319900118,RURAL_REFERENCE_MUNICIPALITY,León — Entorno de Cacabelos,León — Entorno de Cacabelos
castilla_y_leon,27,24,León,24089,León,31292,31292,1.0,DOMINANT_MUNICIPALITY,León — León,León — León IV
castilla_y_leon,28,24,León,24163,Sariegos,5482,28823,0.190195330118,RURAL_REFERENCE_MUNICIPALITY,León — Entorno de Sariegos,León — Entorno de Sariegos
castilla_y_leon,29,24,León,24115,Ponferrada,31721,31721,1.0,DOMINANT_MUNICIPALITY,León — Ponferrada,León — Ponferrada II
castilla_y_leon,30,24,León,24142,San Andrés del Rabanedo,29996,29996,1.0,DOMINANT_MUNICIPALITY,León — San Andrés del Rabanedo,León — San Andrés del Rabanedo
castilla_y_leon,31,24,León,24008,Astorga,10300,28736,0.358435412027,RURAL_REFERENCE_MUNICIPALITY,León — Entorno de Astorga,León — Entorno de Astorga
castilla_y_leon,32,24,León,24014,Bembibre,8075,28924,0.27917991979,RURAL_REFERENCE_MUNICIPALITY,León — Entorno de Bembibre,León — Entorno de Bembibre
castilla_y_leon,33,34,Palencia,34120,Palencia,27499,27499,1.0,DOMINANT_MUNICIPALITY,Palencia — Palencia,Palencia — Palencia I
castilla_y_leon,34,34,Palencia,34120,Palencia,27860,27860,1.0,DOMINANT_MUNICIPALITY,Palencia — Palencia,Palencia — Palencia II
castilla_y_leon,35,34,Palencia,34120,Palencia,22010,25848,0.851516558341,DOMINANT_MUNICIPALITY,Palencia — Palencia,Palencia — Palencia III
castilla_y_leon,36,34,Palencia,34080,Guardo,5500,25818,0.213029669223,RURAL_REFERENCE_MUNICIPALITY,Palencia — Entorno de Guardo,Palencia — Entorno de Guardo
castilla_y_leon,37,34,Palencia,34225,Villamuriel de Cerrato,6496,25837,0.251422378759,RURAL_REFERENCE_MUNICIPALITY,Palencia — Entorno de Villamuriel de Cerrato,Palencia — Entorno de Villamuriel de Cerrato
castilla_y_leon,38,34,Palencia,34004,Aguilar de Campoo,6932,25840,0.26826625387,RURAL_REFERENCE_MUNICIPALITY,Palencia — Entorno de Aguilar de Campoo,Palencia — Entorno de Aguilar de Campoo
castilla_y_leon,39,37,Salamanca,37274,Salamanca,29128,29128,1.0,DOMINANT_MUNICIPALITY,Salamanca — Salamanca,Salamanca — Salamanca I
castilla_y_leon,40,37,Salamanca,37274,Salamanca,29635,29635,1.0,DOMINANT_MUNICIPALITY,Salamanca — Salamanca,Salamanca — Salamanca II
castilla_y_leon,41,37,Salamanca,37274,Salamanca,29084,29084,1.0,DOMINANT_MUNICIPALITY,Salamanca — Salamanca,Salamanca — Salamanca III
castilla_y_leon,42,37,Salamanca,37274,Salamanca,28557,28557,1.0,DOMINANT_MUNICIPALITY,Salamanca — Salamanca,Salamanca — Salamanca IV
castilla_y_leon,43,37,Salamanca,37107,Ciudad Rodrigo,11733,30441,0.385434118459,RURAL_REFERENCE_MUNICIPALITY,Salamanca — Entorno de Ciudad Rodrigo,Salamanca — Entorno de Ciudad Rodrigo
castilla_y_leon,44,37,Salamanca,37046,Béjar,11990,30497,0.393153424927,RURAL_REFERENCE_MUNICIPALITY,Salamanca — Entorno de Béjar,Salamanca — Entorno de Béjar
castilla_y_leon,45,37,Salamanca,37294,Santa Marta de Tormes,14949,30506,0.490034747263,RURAL_REFERENCE_MUNICIPALITY,Salamanca — Entorno de Santa Marta de Tormes,Salamanca — Entorno de Santa Marta de Tormes
castilla_y_leon,46,37,Salamanca,37274,Salamanca,29179,29179,1.0,DOMINANT_MUNICIPALITY,Salamanca — Salamanca,Salamanca — Salamanca V
castilla_y_leon,47,37,Salamanca,37354,Villamayor,7740,30437,0.254295758452,RURAL_REFERENCE_MUNICIPALITY,Salamanca — Entorno de Villamayor,Salamanca — Entorno de Villamayor
castilla_y_leon,48,37,Salamanca,37246,Peñaranda de Bracamonte,6164,30535,0.201866710332,RURAL_REFERENCE_MUNICIPALITY,Salamanca — Entorno de Peñaranda de Bracamonte,Salamanca — Entorno de Peñaranda de Bracamonte
castilla_y_leon,49,37,Salamanca,37085,Carbajosa de la Sagrada,7785,30447,0.255690215785,RURAL_REFERENCE_MUNICIPALITY,Salamanca — Entorno de Carbajosa de la Sagrada,Salamanca — Entorno de Carbajosa de la Sagrada
castilla_y_leon,50,40,Segovia,40194,Segovia,27134,27134,1.0,DOMINANT_MUNICIPALITY,Segovia — Segovia,Segovia — Segovia I
castilla_y_leon,51,40,Segovia,40194,Segovia,25055,32792,0.764058306904,DOMINANT_MUNICIPALITY,Segovia — Segovia,Segovia — Segovia II
castilla_y_leon,52,40,Segovia,40155,Palazuelos de Eresma,6114,32771,0.186567391901,RURAL_REFERENCE_MUNICIPALITY,Segovia — Entorno de Palazuelos de Eresma,Segovia — Entorno de Palazuelos de Eresma
castilla_y_leon,53,40,Segovia,40063,Cuéllar,9451,32776,0.288351232609,RURAL_REFERENCE_MUNICIPALITY,Segovia — Entorno de Cuéllar,Segovia — Entorno de Cuéllar
castilla_y_leon,54,40,Segovia,40076,"Espinar, El",10410,32778,0.317591067179,RURAL_REFERENCE_MUNICIPALITY,"Segovia — Entorno de Espinar, El","Segovia — Entorno de Espinar, El"
castilla_y_leon,55,42,Soria,42173,Soria,29364,29364,1.0,DOMINANT_MUNICIPALITY,Soria — Soria,Soria — Soria
castilla_y_leon,56,42,Soria,42173,Soria,11577,30409,0.380709658325,RURAL_REFERENCE_MUNICIPALITY,Soria — Entorno de Soria,Soria — Entorno de Soria
castilla_y_leon,57,42,Soria,42020,Almazán,5534,30410,0.18197961197,RURAL_REFERENCE_MUNICIPALITY,Soria — Entorno de Almazán,Soria — Entorno de Almazán
castilla_y_leon,58,47,Valladolid,47186,Valladolid,30182,30182,1.0,DOMINANT_MUNICIPALITY,Valladolid — Valladolid,Valladolid — Valladolid I
castilla_y_leon,59,47,Valladolid,47186,Valladolid,30149,30149,1.0,DOMINANT_MUNICIPALITY,Valladolid — Valladolid,Valladolid — Valladolid II
castilla_y_leon,60,47,Valladolid,47186,Valladolid,30140,30140,1.0,DOMINANT_MUNICIPALITY,Valladolid — Valladolid,Valladolid — Valladolid III
castilla_y_leon,61,47,Valladolid,47186,Valladolid,30336,30336,1.0,DOMINANT_MUNICIPALITY,Valladolid — Valladolid,Valladolid — Valladolid IV
castilla_y_leon,62,47,Valladolid,47186,Valladolid,30430,30430,1.0,DOMINANT_MUNICIPALITY,Valladolid — Valladolid,Valladolid — Valladolid V
castilla_y_leon,63,47,Valladolid,47186,Valladolid,29990,29990,1.0,DOMINANT_MUNICIPALITY,Valladolid — Valladolid,Valladolid — Valladolid VI
castilla_y_leon,64,47,Valladolid,47186,Valladolid,30048,30048,1.0,DOMINANT_MUNICIPALITY,Valladolid — Valladolid,Valladolid — Valladolid VII
castilla_y_leon,65,47,Valladolid,47186,Valladolid,30272,30272,1.0,DOMINANT_MUNICIPALITY,Valladolid — Valladolid,Valladolid — Valladolid VIII
castilla_y_leon,66,47,Valladolid,47186,Valladolid,30181,30181,1.0,DOMINANT_MUNICIPALITY,Valladolid — Valladolid,Valladolid — Valladolid IX
castilla_y_leon,67,47,Valladolid,47165,Tordesillas,8801,28373,0.310189264442,RURAL_REFERENCE_MUNICIPALITY,Valladolid — Entorno de Tordesillas,Valladolid — Entorno de Tordesillas
castilla_y_leon,68,47,Valladolid,47052,Cistérniga,9483,28712,0.33028002229,RURAL_REFERENCE_MUNICIPALITY,Valladolid — Entorno de Cistérniga,Valladolid — Entorno de Cistérniga
castilla_y_leon,69,47,Valladolid,47076,Laguna de Duero,22999,27444,0.838033814313,DOMINANT_MUNICIPALITY,Valladolid — Laguna de Duero,Valladolid — Laguna de Duero
castilla_y_leon,70,47,Valladolid,47010,Arroyo de la Encomienda,22778,29162,0.781084973596,DOMINANT_MUNICIPALITY,Valladolid — Arroyo de la Encomienda,Valladolid — Arroyo de la Encomienda
castilla_y_leon,71,47,Valladolid,47085,Medina del Campo,20238,28205,0.71753235242,DOMINANT_MUNICIPALITY,Valladolid — Medina del Campo,Valladolid — Medina del Campo
castilla_y_leon,72,47,Valladolid,47186,Valladolid,30070,30070,1.0,DOMINANT_MUNICIPALITY,Valladolid — Valladolid,Valladolid — Valladolid X
castilla_y_leon,73,47,Valladolid,47075,Íscar,6554,28293,0.231647403952,RURAL_REFERENCE_MUNICIPALITY,Valladolid — Entorno de Íscar,Valladolid — Entorno de Íscar
castilla_y_leon,74,47,Valladolid,47114,Peñafiel,5163,28284,0.182541366143,RURAL_REFERENCE_MUNICIPALITY,Valladolid — Entorno de Peñafiel,Valladolid — Entorno de Peñafiel
castilla_y_leon,75,47,Valladolid,47050,Cigales,5456,28373,0.192295492193,RURAL_REFERENCE_MUNICIPALITY,Valladolid — Entorno de Cigales,Valladolid — Entorno de Cigales
castilla_y_leon,76,49,Zamora,49275,Zamora,30093,30093,1.0,DOMINANT_MUNICIPALITY,Zamora — Zamora,Zamora — Zamora I
castilla_y_leon,77,49,Zamora,49021,Benavente,17276,26450,0.653156899811,DOMINANT_MUNICIPALITY,Zamora — Benavente,Zamora — Benavente
castilla_y_leon,78,49,Zamora,49275,Zamora,29764,29764,1.0,DOMINANT_MUNICIPALITY,Zamora — Zamora,Zamora — Zamora II
castilla_y_leon,79,49,Zamora,49127,Morales del Vino,3042,26458,0.114974676846,RURAL_REFERENCE_MUNICIPALITY,Zamora — Entorno de Morales del Vino,Zamora — Entorno de Morales del Vino
castilla_y_leon,80,49,Zamora,49166,Puebla de Sanabria,1388,26379,0.052617612495,RURAL_REFERENCE_MUNICIPALITY,Zamora — Entorno de Puebla de Sanabria,Zamora — Entorno de Puebla de Sanabria
castilla_y_leon,81,49,Zamora,49219,Toro,8349,26420,0.316010598032,RURAL_REFERENCE_MUNICIPALITY,Zamora — Entorno de Toro,Zamora — Entorno de Toro
extremadura,0,06,Badajoz,06036,Castuera,5453,17139,0.318163253399,RURAL_REFERENCE_MUNICIPALITY,Badajoz — Entorno de Castuera,Badajoz — Entorno de Castuera
extremadura,1,06,Badajoz,06015,Badajoz,16196,16196,1.0,DOMINANT_MUNICIPALITY,Badajoz — Badajoz,Badajoz — Badajoz I
extremadura,2,06,Badajoz,06014,Azuaga,7594,16750,0.453373134328,RURAL_REFERENCE_MUNICIPALITY,Badajoz — Entorno de Azuaga,Badajoz — Entorno de Azuaga
extremadura,3,06,Badajoz,06015,Badajoz,16167,16167,1.0,DOMINANT_MUNICIPALITY,Badajoz — Badajoz,Badajoz — Badajoz II
extremadura,4,06,Badajoz,06052,Fuente de Cantos,4584,16680,0.274820143885,RURAL_REFERENCE_MUNICIPALITY,Badajoz — Entorno de Fuente de Cantos,Badajoz — Entorno de Fuente de Cantos
extremadura,5,06,Badajoz,06015,Badajoz,15354,15354,1.0,DOMINANT_MUNICIPALITY,Badajoz — Badajoz,Badajoz — Badajoz III
extremadura,6,06,Badajoz,06015,Badajoz,16403,16403,1.0,DOMINANT_MUNICIPALITY,Badajoz — Badajoz,Badajoz — Badajoz IV
extremadura,7,06,Badajoz,06015,Badajoz,16195,16195,1.0,DOMINANT_MUNICIPALITY,Badajoz — Badajoz,Badajoz — Badajoz V
