district_id,party,votes,bloc
61,COALICIÓN ARAGONESA,8,
62,PP,4469,derecha
62,PSOE,2781,izquierda
62,VOX,1800,derecha
62,CHA,1422,izquierda
62,IU- MOVIMIENTO SUMAR,411,izquierda
62,EXISTE,336,otros
62,SALF,278,derecha
62,PODEMOS -AV,121,izquierda
62,PAR,93,centro
62,ESCAÑOS EN BLANCO,83,
62,PACMA,53,
62,MUNDO+JUSTO,12,
62,COALICIÓN ARAGONESA,7,
62,PCTE,7,
63,PP,2586,derecha
63,PSOE,2462,izquierda
63,VOX,1616,derecha
63,CHA,502,izquierda
63,PAR,220,centro
63,SALF,136,derecha
63,IU- MOVIMIENTO SUMAR,125,izquierda
63,EXISTE,124,otros
63,ETXSBC,49,
63,PODEMOS -AV,48,izquierda
63,ESCAÑOS EN BLANCO,44,
63,PACMA,23,
63,COALICIÓN ARAGONESA,10,
63,MUNDO+JUSTO,3,
64,PP,3080,derecha
64,PSOE,2622,izquierda
64,VOX,1858,derecha
64,EXISTE,1060,otros
64,PAR,701,centro
64,CHA,449,izquierda
64,SALF,197,derecha
64,IU- MOVIMIENTO SUMAR,160,izquierda
64,PODEMOS -AV,49,izquierda
64,ESCAÑOS EN BLANCO,44,
64,PACMA,23,
64,COALICIÓN ARAGONESA,6,
64,PCTE,1,
65,PP,3152,derecha
65,PSOE,2931,izquierda
65,VOX,2073,derecha
65,CHA,876,izquierda
65,SALF,406,derecha
65,IU- MOVIMIENTO SUMAR,317,izquierda
65,EXISTE,174,otros
