Comarca código,Comarca nombre,Municipio código,Municipio nombre,Provincia código,Provincia nombre
13,Campo de Borja,50006,Ainzón,50,Zaragoza
13,Campo de Borja,50010,Alberite de San Juan,50,Zaragoza
13,Campo de Borja,50011,Albeta,50,Zaragoza
13,Campo de Borja,50027,Ambel,50,Zaragoza
13,Campo de Borja,50052,Bisimbre,50,Zaragoza
13,Campo de Borja,50055,Borja,50,Zaragoza
13,Campo de Borja,50060,Bulbuente,50,Zaragoza
13,Campo de Borja,50061,Bureta,50,Zaragoza
13,Campo de Borja,50111,Fréscano,50,Zaragoza
13,Campo de Borja,50113,Fuendejalón,50,Zaragoza
13,Campo de Borja,50153,Magallón,50,Zaragoza
13,Campo de Borja,50156,Maleján,50,Zaragoza
13,Campo de Borja,50160,Mallén,50,Zaragoza
13,Campo de Borja,50191,Novillas,50,Zaragoza
13,Campo de Borja,50216,Pozuelo de Aragón,50,Zaragoza
13,Campo de Borja,50249,Tabuenca,50,Zaragoza
13,Campo de Borja,50250,Talamantes,50,Zaragoza
14,Aranda,50031,Aranda de Moncayo,50,Zaragoza
14,Aranda,50057,Brea de Aragón,50,Zaragoza
14,Aranda,50069,Calcena,50,Zaragoza
14,Aranda,50121,Gotor,50,Zaragoza
14,Aranda,50126,Illueca,50,Zaragoza
14,Aranda,50130,Jarque de Moncayo,50,Zaragoza
14,Aranda,50166,Mesones de Isuela,50,Zaragoza
14,Aranda,50198,Oseja,50,Zaragoza
14,Aranda,50214,Pomer,50,Zaragoza
14,Aranda,50221,Purujosa,50,Zaragoza
14,Aranda,50243,Sestrica,50,Zaragoza
14,Aranda,50254,Tierga,50,Zaragoza
14,Aranda,50266,Trasobares,50,Zaragoza
15,Ribera Alta del Ebro,50008,Alagón,50,Zaragoza
15,Ribera Alta del Ebro,50013,Alcalá de Ebro,50,Zaragoza
15,Ribera Alta del Ebro,50043,Bárboles,50,Zaragoza
15,Ribera Alta del Ebro,50053,Boquiñeni,50,Zaragoza
15,Ribera Alta del Ebro,50064,Cabañas de Ebro,50,Zaragoza
